#	-50.000000	50.000000	-50.000000	50.000000	1.000000
0	0	0	0	[34.253701,-10.288213]	[23.492977,27.349421]
0	0	0	0	[-22.079310,5.506431]	[14.321912,10.943534]
0	0	0	0	[13.613654,21.734583]	[4.248077,0.489017]
0	0	0	0	[-34.293154,-9.605883]	[3.893713,29.967736]
0	0	0	0	[11.455249,-20.248763]	[19.126568,14.807490]
0	0	0	0	[2.794567,27.076378]	[12.006859,8.499442]
0	0	0	0	[-42.866674,44.990372]	[15.779861,5.766415]
0	0	0	0	[-43.445557,-47.926211]	[13.731052,7.148399]
0	0	0	0	[-23.220863,4.129795]	[11.256209,15.376061]
0	0	0	0	[-5.956997,43.268794]	[27.924294,8.528802]
0	0	0	0	[18.918170,-33.153823]	[13.203136,24.876033]
0	0	0	0	[-14.677042,18.864182]	[28.694048,19.719121]
0	0	0	0	[-9.951068,31.621437]	[20.526556,14.474720]
0	0	0	0	[-35.041674,38.292096]	[19.232418,18.587895]
0	0	0	0	[-5.240382,-27.222404]	[5.625993,16.693313]
0	0	0	0	[-39.534248,-37.097041]	[14.863322,29.542550]
0	0	0	0	[25.065336,-12.958299]	[8.824811,17.534655]
0	0	0	0	[-37.403279,29.369398]	[4.923058,2.235894]
0	0	0	0	[-32.139595,-25.796794]	[23.933942,19.696910]
0	0	0	0	[-40.495889,-36.488787]	[15.606302,2.097192]
0	0	0	0	[7.347444,25.858082]	[1.558165,29.999807]
0	0	0	0	[50.041062,-44.592994]	[-26.116196,0.124848]
0	0	0	0	[-33.412942,-10.723248]	[27.390800,10.772861]
0	0	0	0	[18.897986,-39.944705]	[15.924240,9.128854]
0	0	0	0	[24.791556,13.140965]	[1.062627,24.997156]
0	0	0	0	[48.214423,24.581185]	[27.100990,20.006410]
0	0	0	0	[39.089787,-42.111688]	[19.491210,18.884391]
0	0	0	0	[-17.100047,-26.790108]	[2.224829,6.709692]
0	0	0	0	[-21.780018,4.752133]	[21.578057,14.144503]
0	0	0	0	[-16.234533,34.871926]	[13.035399,10.348289]
0	0	0	0	[17.692179,-1.491346]	[14.458075,21.362618]
0	0	0	0	[-8.399445,19.702514]	[20.218095,10.413476]
0	0	0	0	[23.295066,-16.886282]	[22.213153,27.627431]
0	0	0	0	[3.322246,-41.029800]	[7.814908,20.583748]
0	0	0	0	[7.869019,9.553876]	[19.996698,23.273017]
0	0	0	0	[48.684538,-49.585682]	[24.821734,5.646031]
0	0	0	0	[26.523486,20.022690]	[3.634295,11.514958]
0	0	0	0	[36.429809,-29.555992]	[23.809705,8.918654]
0	0	0	0	[-0.136780,7.879329]	[4.882702,25.937369]
0	0	0	0	[-0.348134,-20.676406]	[5.412637,21.826509]
0	0	0	0	[33.866823,22.574756]	[5.346225,14.955764]
0	0	0	0	[-17.246755,43.440578]	[27.254540,25.104833]
0	0	0	0	[-10.384619,15.928485]	[18.266486,4.536900]
0	0	0	0	[-13.540755,-21.044850]	[9.941575,12.819832]
0	0	0	0	[16.020892,26.442692]	[14.622806,26.491098]
0	0	0	0	[6.005043,-7.306764]	[24.898171,7.329810]
0	0	0	0	[48.753731,-16.052471]	[26.926808,12.323638]
0	0	0	0	[-20.372533,-38.518470]	[25.966044,1.474874]
0	0	0	0	[-28.652154,-2.580734]	[25.955436,2.986779]
0	0	0	0	[30.924983,-36.692471]	[1.545249,13.731468]
0	0	0	0	[-37.915281,9.142184]	[17.359045,17.851358]
